MATSIZE,PATTERNS_SIZE,NB_PATTERNS,THREADS,CONNECTIONS,DURATION,RATE,Requests/sec,Transfer/sec
32,16,4,1,10,10,64,64.077,11.2
128,16,4,1,10,10,64,64.01,10.94
256,16,4,1,10,10,64,12.73,2.177
512,16,4,1,10,10,64,1.137,189.897
32,64,4,1,10,10,64,61.947,10.83
128,64,4,1,10,10,64,46.473,7.763
256,64,4,1,10,10,64,8.073,1.38
512,64,4,1,10,10,64,0.78,134.05
32,128,4,1,10,10,64,64.057,11.2
128,128,4,1,10,10,64,27.167,4.64
256,128,4,1,10,10,64,5.23,0.893
512,128,4,1,10,10,64,0.463,77.103
32,16,4,4,10,10,64,64.37,11.25
128,16,4,4,10,10,64,63.93,10.927
256,16,4,4,10,10,64,13.18,2.257
512,16,4,4,10,10,64,2.073,346.167
32,64,4,4,10,10,64,64.263,11.233
128,64,4,4,10,10,64,46.45,7.757
256,64,4,4,10,10,64,8.39,1.437
512,64,4,4,10,10,64,1.203,205.79
32,128,4,4,10,10,64,64.057,11.197
128,128,4,4,10,10,64,28.237,4.827
256,128,4,4,10,10,64,5.443,0.93
512,128,4,4,10,10,64,0.913,152.677
32,16,4,8,10,10,64,64.623,11.297
128,16,4,8,10,10,64,63.963,10.93
256,16,4,8,10,10,64,13.66,2.333
512,16,4,8,10,10,64,4.593,767.273
32,64,4,8,10,10,64,63.827,11.157
128,64,4,8,10,10,64,46.57,7.773
256,64,4,8,10,10,64,8.597,1.47
512,64,4,8,10,10,64,3.437,587.507
32,128,4,8,10,10,64,63.99,11.187
128,128,4,8,10,10,64,28.28,4.833
256,128,4,8,10,10,64,5.637,0.963
512,128,4,8,10,10,64,2.287,381.75
32,16,4,1,10,10,256,255.817,44.72
128,16,4,1,10,10,256,88.93,15.197
256,16,4,1,10,10,256,12.87,2.197
512,16,4,1,10,10,256,1.14,189.94
32,64,4,1,10,10,256,247.363,43.24
128,64,4,1,10,10,256,46.393,7.747
256,64,4,1,10,10,256,8.067,1.38
512,64,4,1,10,10,256,0.787,134.037
32,128,4,1,10,10,256,234.497,40.99
128,128,4,1,10,10,256,28.103,4.803
256,128,4,1,10,10,256,5.227,0.893
512,128,4,1,10,10,256,0.463,76.8
32,16,4,4,10,10,256,256.283,44.8
128,16,4,4,10,10,256,89.037,15.22
256,16,4,4,10,10,256,13.273,2.27
512,16,4,4,10,10,256,2.11,352.493
32,64,4,4,10,10,256,256.277,44.8
128,64,4,4,10,10,256,46.62,7.787
256,64,4,4,10,10,256,8.423,1.44
512,64,4,4,10,10,256,1.207,206.457
32,128,4,4,10,10,256,256.223,44.79
128,128,4,4,10,10,256,28.337,4.84
256,128,4,4,10,10,256,5.443,0.93
512,128,4,4,10,10,256,0.913,153.197
32,16,4,8,10,10,256,256.527,44.84
128,16,4,8,10,10,256,89.103,15.227
256,16,4,8,10,10,256,13.63,2.33
512,16,4,8,10,10,256,4.573,763.35
32,64,4,8,10,10,256,255.38,44.64
128,64,4,8,10,10,256,46.673,7.793
256,64,4,8,10,10,256,8.673,1.483
512,64,4,8,10,10,256,3.343,571.393
32,128,4,8,10,10,256,256.063,44.763
128,128,4,8,10,10,256,28.28,4.833
256,128,4,8,10,10,256,5.637,0.963
512,128,4,8,10,10,256,2.287,382.007
32,16,4,1,10,10,512,511.157,89.353
128,16,4,1,10,10,512,89.017,15.213
256,16,4,1,10,10,512,12.843,2.197
512,16,4,1,10,10,512,1.143,190.973
32,64,4,1,10,10,512,503.833,88.07
128,64,4,1,10,10,512,44.753,7.473
256,64,4,1,10,10,512,8.06,1.377
512,64,4,1,10,10,512,0.783,134.237
32,128,4,1,10,10,512,404.563,70.72
128,128,4,1,10,10,512,28.113,4.807
256,128,4,1,10,10,512,5.233,0.897
512,128,4,1,10,10,512,0.463,76.757
32,16,4,4,10,10,512,443.28,77.487
128,16,4,4,10,10,512,89.01,15.213
256,16,4,4,10,10,512,13.183,2.257
512,16,4,4,10,10,512,2.09,349.107
32,64,4,4,10,10,512,512.153,89.53
128,64,4,4,10,10,512,46.65,7.793
256,64,4,4,10,10,512,8.423,1.443
512,64,4,4,10,10,512,1.203,206.34
32,128,4,4,10,10,512,456.773,79.847
128,128,4,4,10,10,512,28.27,4.833
256,128,4,4,10,10,512,5.467,0.933
512,128,4,4,10,10,512,0.913,153.243
32,16,4,8,10,10,512,512.333,89.56
128,16,4,8,10,10,512,89.077,15.22
256,16,4,8,10,10,512,13.613,2.33
512,16,4,8,10,10,512,4.717,787.893
32,64,4,8,10,10,512,512.173,89.53
128,64,4,8,10,10,512,46.57,7.777
256,64,4,8,10,10,512,8.627,1.477
512,64,4,8,10,10,512,3.333,569.96
32,128,4,8,10,10,512,462.06,80.77
128,128,4,8,10,10,512,28.28,4.833
256,128,4,8,10,10,512,5.623,0.963
512,128,4,8,10,10,512,2.287,381.887
